placa;anno_permiso;Tipo_pago;CodSII;fecha_emision;fecha_pago;MONTO_PAGADO;REAJUSTE;MULTA;PERMISO_ANTERIOR;ELECTRONICO_PAPEL;FECHA_VENCIMIENTO;SEXO
LF7794;2024;TOTAL;;13/11/2024;13/11/2024;68150;198;1985;SANTIAGO;PAPEL;30/09/2025;H
LJGT62;2024;TOTAL;CT790173;06/02/2024;25/11/2024;358964;8730;38460;SANTIAGO;ELECTRONICO;31/03/2025;M
LP3985;2024;2a Cuota;;04/10/2024;11/11/2024;33578;33;496;MAFIL;ELECTRONICO;30/09/2025;H
LR1906;2024;2a Cuota;;04/10/2024;01/11/2024;99148;0;0;SAN JOSE;ELECTRONICO;30/09/2025;M
LW1038;2024;2a Cuota;SD2350174;02/08/2024;09/11/2024;17370;181;748;VILLARRICA;ELECTRONICO;31/03/2025;H
NK3959;2024;2a Cuota;SD2350083;02/08/2024;05/11/2024;17370;181;748;VIÑA;ELECTRONICO;31/03/2025;M
NU7719;2024;TOTAL;;12/11/2024;12/11/2024;204450;594;5955;COQUIMBO;PAPEL;30/09/2025;H
PFLT67;2024;2a Cuota;SU1760232;02/08/2024;28/11/2024;176765;1840;7612;VALPARAISO;ELECTRONICO;31/03/2025;M
PGFD74;2024;2a Cuota;CT1250015;02/08/2024;05/11/2024;136415;1420;5874;SANTIAGO;ELECTRONICO;31/03/2025;H
PGGB72;2024;2a Cuota;SU1210057;02/08/2024;26/11/2024;472486;4919;20346;SANTIAGO;ELECTRONICO;31/03/2025;M
PJGL74;2024;2a Cuota;SD2290057;02/08/2024;02/11/2024;85676;892;3689;MAFIL;ELECTRONICO;31/03/2025;H
PJZX69;2024;2a Cuota;CT5430024;02/08/2024;02/11/2024;577744;6015;24879;SAN JOSE;ELECTRONICO;31/03/2025;M
PJZZ28;2024;2a Cuota;SU490043;02/08/2024;05/11/2024;104358;1087;4494;VILLARRICA;ELECTRONICO;31/03/2025;H
PJZZ74;2024;2a Cuota;SU490018;02/08/2024;18/11/2024;79634;829;3429;VIÑA;PAPEL;31/03/2025;M
PK1924;2024;TOTAL;;22/11/2024;22/11/2024;204450;594;5955;COQUIMBO;PAPEL;30/09/2025;H
PPRD27;2024;2a Cuota;SD1110347;02/08/2024;29/11/2024;103930;1082;4475;VALPARAISO;ELECTRONICO;31/03/2025;M
PRW044;2022;TOTAL;MT1060373;20/11/2024;20/11/2024;366695;40950;118928;SANTIAGO;ELECTRONICO;31/03/2023;H
PRW044;2023;TOTAL;MT1060373;20/11/2024;20/11/2024;266795;12887;61568;SANTIAGO;ELECTRONICO;31/03/2024;M
PRW044;2024;TOTAL;MT1060373;20/11/2024;20/11/2024;231021;5618;24752;MAFIL;ELECTRONICO;31/03/2025;H
PYLV31;2024;2a Cuota;CT1760343;02/08/2024;28/11/2024;590426;3158;13062;SAN JOSE;ELECTRONICO;31/03/2025;M
PZDB37;2024;2a Cuota;SU2270465;02/08/2024;14/11/2024;198689;2069;8556;VILLARRICA;ELECTRONICO;31/03/2025;H
RBGV77;2024;2a Cuota;CT1760341;02/08/2024;27/11/2024;667797;3572;14773;VIÑA;ELECTRONICO;31/03/2025;M
